query,gold_answer,gold_chunk_ids
Are there subject-specific scholarships for undergraduates?,"Not directly answered in the extracted chunks - the page uses a filter tool ('Where are you from?', 'Benefit provided') rather than listing scholarships as text, which this RAG pipeline cannot use. A genuine corpus/chunking limitation worth discussing.","N/A - content is filter-based, not extractable as text"
What bursaries are available to undergraduate students?,Not specifically listed in the extracted text - same filter-tool limitation as the scholarships question above.,"N/A - content is filter-based, not extractable as text"
What scholarships are available for postgraduate taught students?,Not specifically named in the extracted chunks - the page offers general financial support advice and links to undergraduate/postgraduate research scholarship pages rather than listing PGT scholarships directly.,pgt_scholarships_awards.html::1
Is there an alumni discount for postgraduate study?,Not mentioned in the extracted chunks for this page - may be covered elsewhere in the site (e.g. a dedicated alumni discount page) not included in this corpus. A genuine corpus coverage gap.,N/A - not found in corpus
How much is the postgraduate alumni discount worth?,Not found in the extracted corpus - same gap as above.,N/A - not found in corpus
What funding is available for postgraduate research students?,"A range of cash awards, fee discounts and scholarships are available for both UK and overseas students, plus access to alternative external funding sources.",pgr_fees_funding.html::1
Are there PhD studentships available at Hull?,"You can apply for a PhD scholarship, or to Student Finance England for a Doctoral Loan of £30,301, which covers tuition fees with any remainder available for living costs.",faq_what-funding-is-available-for-phd-study.html::0
How do postgraduate research students pay tuition fees?,"Not directly answered in the extracted text - the page links to an FAQ titled 'How do I pay?' but the underlying answer content was not captured by the scraper, likely because it's rendered dynamically (e.g. a JS accordion) rather than present in the static HTML.",N/A - FAQ answer content not captured by static HTML scraping (see methodology limitations)
What are the general university policies on student finance?,"The Policies and Information page organises finance-related policies under sections including Scholarships, Procurement, Data Protection, and Strategies, but doesn't list detailed finance policy content directly in this chunk.",finance_information_and_policies.html::1
Where can I find the university's refund policy?,"Not directly answered in the extracted text - the pgr_fees_funding page links to an FAQ titled 'I've decided to withdraw from my course - can I get a refund?' but the actual answer content wasn't captured, likely rendered dynamically rather than present in the static HTML.",N/A - FAQ answer content not captured by static HTML scraping (see methodology limitations)
What happens if I withdraw from my course - do I get a fee refund?,"Same limitation as above - only the FAQ question title ('I've decided to withdraw from my course - can I get a refund?') was captured, not the actual answer text. A genuine, citable finding: static HTML scraping misses JavaScript-rendered FAQ accordion content.",N/A - FAQ answer content not captured by static HTML scraping (see methodology limitations)
What are the common questions about fees and funding?,"The page lists FAQ question titles only (e.g. 'What is student finance?', 'How much will I get to live on as a student?', 'How do I repay my loans?', 'Does interest apply to the loans?'), organised by study level (Undergraduate, Postgraduate Taught, Postgraduate Research) - but none of the actual answers were captured, only the question titles.",fees_funding_faqs.html::0;fees_funding_faqs.html::1;fees_funding_faqs.html::2;fees_funding_faqs.html::3
When are tuition fees due for payment?,"Not answerable from this corpus - fees_funding_faqs.html contains only FAQ question titles (e.g. accordion triggers), not the underlying answer text. This is a clear, systematic scraping limitation: JavaScript-rendered accordion content wasn't captured by static HTML scraping across this entire page.",N/A - FAQ answer content not captured by static HTML scraping
Can I pay my tuition fees in instalments?,"Not answerable from this corpus - fees_funding_faqs.html contains only FAQ question titles (e.g. accordion triggers), not the underlying answer text. This is a clear, systematic scraping limitation: JavaScript-rendered accordion content wasn't captured by static HTML scraping across this entire page.",N/A - FAQ answer content not captured by static HTML scraping
What happens if I don't pay my tuition fees on time?,"Not answerable from this corpus - fees_funding_faqs.html contains only FAQ question titles (e.g. accordion triggers), not the underlying answer text. This is a clear, systematic scraping limitation: JavaScript-rendered accordion content wasn't captured by static HTML scraping across this entire page.",N/A - FAQ answer content not captured by static HTML scraping
Where can I find a full list of university scholarship policies?,The Policies and Information page has a dedicated 'Scholarships' section containing policy documents for scholarships offered by the University.,policies_and_information_index.html::1
Are there other scholarship policies besides the Chancellor's Scholarship?,"Implied yes - the Policies and Information page has a general 'Scholarships' section for policy documents, suggesting multiple scholarship policies exist, though this chunk doesn't name them individually.",policies_and_information_index.html::1
How do I find official university policy documents online?,"Via the Policies and Information page, which is organised into sections including Joining the University, Fairness and inclusion, Student support and wellbeing, Data handling, Research, Scholarships, and more.",policies_and_information_index.html::0
What is the difference between a bursary and a scholarship at Hull?,Not directly answered anywhere in this corpus - a genuine test case: the system should say it doesn't know rather than fabricate a distinction.,"N/A - deliberately not covered, tests honest non-answering"
Can I hold two scholarships at the same time at Hull?,Not directly answered anywhere in this corpus - a genuine test case: the system should say it doesn't know rather than fabricate a rule.,"N/A - deliberately not covered, tests honest non-answering"
What is the capital of France?,This question is unrelated to Hull scholarships/finance and should NOT be answered from this corpus - a good test that the system correctly declines out-of-scope questions.,N/A - out of scope test
Can I transfer my Chancellor's Scholarship to another student?,"Not answered in the visible chunks of the Chancellor's Scholarship policy (chunks 0-4 were reviewed in this session; chunks 5-7 were never seen). A genuine unknown - verify chunks 5-7 yourself, or treat as another honest non-answer test case if you choose not to.",chancellors_scholarship_policy.pdf::5;chancellors_scholarship_policy.pdf::6;chancellors_scholarship_policy.pdf::7
Does transferring to an ordinary (non-honours) degree affect my Chancellor's Scholarship?,Yes - transfer to an ordinary degree affects/renders students... (sentence was cut off in extracted text; verify full wording in the source PDF).,chancellors_scholarship_policy.pdf::3
What is student finance?,"Student finance is government funding to make university affordable, consisting of two loans: the Tuition Fee Loan (covers tuition fees in full, paid directly to the university) and the means-tested Maintenance Loan (paid in three instalments across the year).",faq_what-is-student-finance.html::0
